t,S(t),A_mean(t),f_mean(t),effort(t),cpu_step(t),C(t),E(t),L(t),variance_d2S,entropy_S,effort_status,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio
6.400000,-1.649901,1.000000,0.455943,0.000000,0.000005,0.452165,0.796729,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
6.500000,-1.732095,1.000000,0.455943,0.000000,0.000005,0.459749,0.799895,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
6.600000,-1.811376,1.000000,0.455943,0.000000,0.000005,0.467240,0.803011,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
6.700000,-1.887534,1.000000,0.455943,0.000000,0.000005,0.474634,0.806075,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
6.800000,-1.960369,1.000000,0.455943,0.000000,0.000005,0.481930,0.809086,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
6.900000,-2.029684,1.000000,0.455943,0.000000,0.000005,0.489122,0.812044,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
7.000000,-2.095291,1.000000,0.455943,0.000000,0.000005,0.496209,0.814947,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
7.100000,-2.157008,1.000000,0.455943,0.000000,0.000005,0.503187,0.817797,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
7.200000,-2.214661,1.000000,0.455943,0.000000,0.000005,0.510055,0.820591,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
7.300000,-2.268087,1.000000,0.455943,0.000000,0.000005,0.516810,0.823331,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
7.400000,-2.317129,1.000000,0.455943,0.000000,0.000005,0.523450,0.826014,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
7.500000,-2.361643,1.000000,0.455943,0.000000,0.000005,0.529973,0.828643,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
7.600000,-2.401493,1.000000,0.455943,0.000000,0.000005,0.536379,0.831215,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
7.700000,-2.436554,1.000000,0.455943,0.000000,0.000005,0.542665,0.833733,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
7.800000,-2.466712,1.000000,0.455943,0.000000,0.000005,0.548831,0.836194,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
7.900000,-2.491867,1.000000,0.455943,0.000000,0.000005,0.554876,0.838600,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
8.000000,-2.511926,1.000000,0.455943,0.000000,0.000005,0.560800,0.840952,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
8.100000,-2.526812,1.000000,0.455943,0.000000,0.000005,0.566601,0.843248,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
8.200000,-2.536458,1.000000,0.455943,0.000000,0.000005,0.572281,0.845490,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
8.300000,-2.540812,1.000000,0.455943,0.000000,0.000005,0.577839,0.847679,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
8.400000,-2.539833,1.000000,0.455943,0.000000,0.000005,0.583275,0.849814,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
8.500000,-2.533492,1.000000,0.455943,0.000000,0.000005,0.588589,0.851896,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
8.600000,-2.521775,1.000000,0.455943,0.000000,0.000005,0.593783,0.853925,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
8.700000,-2.504679,1.000000,0.455943,0.000000,0.000005,0.598857,0.855904,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
8.800000,-2.482217,1.000000,0.455943,0.000000,0.000005,0.603811,0.857831,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
8.900000,-2.454411,1.000000,0.455943,0.000000,0.000005,0.608647,0.859708,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
9.000000,-2.421300,1.000000,0.455943,0.000000,0.000005,0.613366,0.861536,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
9.100000,-2.382932,1.000000,0.455943,0.000000,0.000005,0.617969,0.863315,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
9.200000,-2.339370,1.000000,0.455943,0.000000,0.000005,0.622458,0.865046,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
9.300000,-2.290690,1.000000,0.455943,0.000000,0.000005,0.626833,0.866730,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
9.400000,-2.236980,1.000000,0.455943,0.000000,0.000005,0.631096,0.868369,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
9.500000,-2.178338,1.000000,0.455943,0.000000,0.000005,0.635249,0.869961,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
9.600000,-2.114876,1.000000,0.455943,0.000000,0.000005,0.639294,0.871510,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
9.700000,-2.046718,1.000000,0.455943,0.000000,0.000005,0.643232,0.873015,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
9.800000,-1.973998,1.000000,0.455943,0.000000,0.000005,0.647065,0.874477,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
9.900000,-1.896861,1.000000,0.455943,0.000000,0.000005,0.650795,0.875898,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
10.000000,-1.815463,1.000000,0.455943,0.000000,0.000005,0.654423,0.877277,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
10.100000,-1.729971,1.000000,0.455943,0.000000,0.000006,0.657953,0.878617,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
10.200000,-1.640560,1.000000,0.455943,0.000000,0.000006,0.661384,0.879918,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
10.300000,-1.547416,1.000000,0.455943,0.000000,0.000005,0.664720,0.881181,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
10.400000,-1.450733,1.000000,0.455943,0.000000,0.000005,0.667963,0.882407,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
10.500000,-1.350713,1.000000,0.455943,0.000000,0.000005,0.671114,0.883596,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
10.600000,-1.247567,1.000000,0.455943,0.000000,0.000006,0.674175,0.884750,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
10.700000,-1.141512,1.000000,0.455943,0.000000,0.000005,0.677148,0.885870,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
10.800000,-1.032773,1.000000,0.455943,0.000000,0.000006,0.680036,0.886956,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
10.900000,-0.921582,1.000000,0.455943,0.000000,0.000005,0.682841,0.888009,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
11.000000,-0.808175,1.000000,0.455943,0.000000,0.000005,0.685563,0.889031,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
11.100000,-0.692795,1.000000,0.455943,0.000000,0.000005,0.688206,0.890021,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
11.200000,-0.575688,1.000000,0.455943,0.000000,0.000005,0.690771,0.890981,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
11.300000,-0.457105,1.000000,0.455943,0.000000,0.000005,0.693260,0.891912,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
11.400000,-0.337300,1.000000,0.455943,0.000000,0.000005,0.695675,0.892814,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
11.500000,-0.216531,1.000000,0.455943,0.000000,0.000005,0.698018,0.893688,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
11.600000,-0.095058,1.000000,0.455943,0.000000,0.000005,0.700291,0.894536,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
11.700000,0.026859,1.000000,0.455943,0.000000,0.000005,0.702495,0.895357,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
11.800000,0.148955,1.000000,0.455943,0.000000,0.000005,0.704633,0.896152,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
11.900000,0.270969,1.000000,0.455943,0.000000,0.000005,0.706706,0.896923,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
12.000000,0.392637,1.000000,0.455943,0.000000,0.000005,0.708715,0.897669,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
12.100000,0.513697,1.000000,0.455943,0.000000,0.000005,0.710664,0.898393,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
12.200000,0.633886,1.000000,0.455943,0.000000,0.000005,0.712553,0.899093,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
12.300000,0.752947,1.000000,0.455943,0.000000,0.000005,0.714383,0.899772,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
12.400000,0.870620,1.000000,0.455943,0.000000,0.000005,0.716158,0.900429,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
12.500000,0.986653,1.000000,0.455943,0.000000,0.000005,0.717877,0.901065,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
12.600000,1.100794,1.000000,0.455943,0.000000,0.000005,0.719544,0.901681,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
12.700000,1.212797,1.000000,0.455943,0.000000,0.000005,0.721158,0.902278,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
12.800000,1.322420,1.000000,0.455943,0.000000,0.000005,0.722723,0.902856,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
12.900000,1.429424,1.000000,0.455943,0.000000,0.000005,0.724238,0.903415,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
13.000000,1.533579,1.000000,0.455943,0.000000,0.000005,0.725707,0.903957,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
13.100000,1.634660,1.000000,0.455943,0.000000,0.000005,0.727129,0.904481,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
13.200000,1.732448,1.000000,0.455943,0.000000,0.000005,0.728507,0.904989,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
13.300000,1.826730,1.000000,0.455943,0.000000,0.000005,0.729841,0.905480,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
13.400000,1.917303,1.000000,0.455943,0.000000,0.000005,0.731133,0.905956,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
13.500000,2.003971,1.000000,0.455943,0.000000,0.000005,0.732385,0.906416,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
13.600000,2.086545,1.000000,0.455943,0.000000,0.000005,0.733597,0.906862,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
13.700000,2.164847,1.000000,0.455943,0.000000,0.000005,0.734771,0.907293,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
13.800000,2.238706,1.000000,0.455943,0.000000,0.000005,0.735907,0.907710,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
13.900000,2.307963,1.000000,0.455943,0.000000,0.000005,0.737008,0.908114,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
14.000000,2.372466,1.000000,0.455943,0.000000,0.000005,0.738073,0.908505,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
14.100000,2.432076,1.000000,0.455943,0.000000,0.000005,0.739105,0.908884,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
14.200000,2.486662,1.000000,0.455943,0.000000,0.000005,0.740103,0.909250,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
