t,S(t),A_mean(t),f_mean(t),effort(t),cpu_step(t),C(t),E(t),L(t),variance_d2S,entropy_S,effort_status,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio
10.500000,-0.000000,0.268941,1,0,0.000010,1,0.268941,0,385.976998,0.500000,stable,0.255773,0,0,0,1.618034
10.600000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,385.432121,0.500000,stable,0.158080,0,0,0,1.618034
10.700000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,381.344262,0.500000,stable,0.000005,0,0,0,1.618034
10.800000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,379.492312,0.500000,stable,0.158071,0,0,0,1.618034
10.900000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,382.647468,0.500000,stable,0.255770,0,0,0,1.618034
11,-0.000000,0.268941,1,0,0.000010,1,0.268941,0,386.752257,0.500000,stable,0.255773,0,0,0,1.618034
11.100000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,386.488363,0.500000,stable,0.158080,0,0,0,1.618034
11.200000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,382.486616,0.500000,stable,0.000005,0,0,0,1.618034
11.300000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,380.315991,0.500000,stable,0.158071,0,0,0,1.618034
11.400000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,382.794475,0.500000,stable,0.255770,0,0,0,1.618034
11.500000,0.000000,0.268941,1,0,0.000010,1,0.268941,0,386.253811,0.500000,stable,0.255773,0,0,0,1.618034
11.600000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,385.773182,0.500000,stable,0.158080,0,0,0,1.618034
11.700000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,382.024176,0.500000,stable,0.000005,0,0,0,1.618034
11.800000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,380.295711,0.500000,stable,0.158071,0,0,0,1.618034
11.900000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,383.153052,0.500000,stable,0.255770,0,0,0,1.618034
12,-0.000000,0.268941,1,0,0.000010,1,0.268941,0,386.900249,0.500000,stable,0.255773,0,0,0,1.618034
12.100000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,386.655473,0.500000,stable,0.158080,0,0,0,1.618034
